sample_id,instruction,gold_commands,rag_source,rag_context,raw_response,extracted_commands,json_ok,latency_ms
1,升級,brew upgrade ollama,vector,"升級
指令：Bash, Edit, Read
---
更新
指令：Bash, Edit, Read
---
更新
指令：TaskCreate","{
  ""commands"": [
    ""git add ."",
    ""git commit -m '<COMMIT_MSG>'"",
    ""git push origin main""
  ]
}","git add .
git commit -m '<COMMIT_MSG>'
git push origin main",1,1308
2,都做吧,rm -f data/shiba-brain.db-shm data/shiba-brain.db-wal; ls -lh data/shiba-brain.db* 2>&1 | grep -v broken,vector,"一起
指令：Bash, Grep
---
請你執行
指令：Bash, Skill
---
請你執行
指令：Bash, Grep, Read","{""commands"": [""git add ."", ""git commit -m <COMMIT_MSG>"", ""git push origin main""]}","git add .
git commit -m <COMMIT_MSG>
git push origin main",1,1344
3,你執行 另外docker容器 命名請參考 shiba-ollama-grafana,cd <HOME>/Developer/ollama-grafana && docker compose up -d 2>&1,vector,"啟動本地ollama與訓練排程 除了docker前後端的服務
指令：Bash
---
啟動本地ollama與訓練排程 除了docker前後端的服務
指令：Bash
---
啟動本地ollama與訓練排程 除了docker前後端的服務
指令：Bash","{
  ""commands"": [
    ""docker run -d --name shiba-ollama-grafana -p 3000:3000 -v /path/to/grafana/data:/var/lib/grafana grafana/grafana-enterprise""
  ]
}",docker run -d --name shiba-ollama-grafana -p 3000:3000 -v /path/to/grafana/data:/var/lib/grafana grafana/grafana-enterprise,1,2060
4,ABC,"grep -n ""evaluator_model\|gemini-2.5-flash-lite"" evaluation/c2_e2e_evaluation.py | head -10",vector,"A
指令：Bash, Read
---
3
指令：Bash, Edit, Read
---
按下A鍵
指令：Bash, Read","{
  ""commands"": [
    ""git add data/2026-05-20_shiba-brain.db.bak"",
    ""git add data/2026-05-20_shiba-brain.db.bge-m3-backfill.bak"",
    ""git add docs/2026-05-09_shiba-fine-tuning-long-tern-plan.md"",
    ""git add docs/2026-05-09_shiba-learning-roadmap.md"",
    ""git add docs/architecture.txt"",
    ""git add docs/archive/plans/2026-05-23-local-qwen-capability-validation.md"",
    ""git add docs/archive/plans/2026-05-29-exchange-distillation-rag-restructure.md"",
    ""git add docs/note/"",
    ""git add experiments/"",
    ""git commit -m <COMMIT_MSG>""
  ]
}","git add data/2026-05-20_shiba-brain.db.bak
git add data/2026-05-20_shiba-brain.db.bge-m3-backfill.bak
git add docs/2026-05-09_shiba-fine-tuning-long-tern-plan.md
git add docs/2026-05-09_shiba-learning-roadmap.md
git add docs/architecture.txt
git add docs/archive/plans/2026-05-23-local-qwen-capability-validation.md
git add docs/archive/plans/2026-05-29-exchange-distillation-rag-restructure.md
git add docs/note/
git add experiments/
git commit -m <COMMIT_MSG>",1,4406
5,幫我使用tree列出核心功能的目錄與程式 在程式名稱右方用一句簡要的話標註這隻程式目的,"for f in modules/ragas/c1_generate_answers.py modules/ragas/c2_e2e_evaluation.py modules/ragas/c4_weekly_ci.py modules/ragas/golden_set_builder.py modules/ragas/layer2_eval.py modules/ragas/ragas_runner.py layer_2_chamber/backend/api/routes_dashboard.py layer_2_chamber/backend/api/routes_dataset.py layer_2_chamber/backend/api/routes_mcp.py layer_2_chamber/backend/api/routes_teachers.py; do echo ""=== $f ===""; sed -n '2,6p' ""$f"" 2>/dev/null; done",vector,"請幫我執行以下指令
指令：Bash
---
前述輸出已出示於使用者眼前。請作簡要確認，切記避免複述目標、網址或收費說明。分析結果將藉任務通知機制送達。
指令：Bash, Edit, Read, Write
---
梳理本專案底下的plan跟相關md內容，協助建構檔案分層架構，完成單次集中整理
指令：AskUserQuestion, Bash, ToolSearch","{
  ""commands"": [
    ""tree -L 2 --dirsfirst -P '*.[ch]' --prune -I 'docs|data|experiments|note' | sed 's/^/  /' | awk -F'/' '{printf \""%s (%s)\n\"", $NF, $NF}' | grep -v '^[^ ]' | sed 's/ *$//'"",
    ""tree -L 2 --dirsfirst -P '*.[ch]' --prune -I 'docs|data|experiments|note' | awk -F'/' '{print $NF}' | xargs -I {} sh -c 'echo -n \""{} (\""; grep -m1 -E \""^[[:space:]]*#.*\"" {} | sed -e \""s/^ *# *//\"" -e \""s/ *$//\""; echo \"")\""' | grep -v '()'""
  ]
}","tree -L 2 --dirsfirst -P '*.[ch]' --prune -I 'docs|data|experiments|note' | sed 's/^/  /' | awk -F'/' '{printf ""%s (%s)
"", $NF, $NF}' | grep -v '^[^ ]' | sed 's/ *$//'
tree -L 2 --dirsfirst -P '*.[ch]' --prune -I 'docs|data|experiments|note' | awk -F'/' '{print $NF}' | xargs -I {} sh -c 'echo -n ""{} (""; grep -m1 -E ""^[[:space:]]*#.*"" {} | sed -e ""s/^ *# *//"" -e ""s/ *$//""; echo "")""' | grep -v '()'",1,4684
6,大概5分鐘1次,"# 用 powermetrics 非互動模式抓一次樣本（需 sudo）
sudo powermetrics -n 1 -i 1000 --samplers cpu_power,gpu_power,thermal 2>/dev/null | grep -E ""CPU die|GPU|ANE|temperature|active|freq"" | head -20",vector,"1即可
指令：Bash, Edit, Read
---
進行A5至處理完畢為止隨後停機
指令：Bash, Edit, Read, Write
---
先做A5結束後停止
指令：Bash, Edit, Read, Write","{
  ""commands"": [
    ""while true; do echo 'Sleeping for 5 minutes'; sleep 300; done""
  ]
}",while true; do echo 'Sleeping for 5 minutes'; sleep 300; done,1,1328
7,照 4 個 PR 切,"git add evaluation/c1_generate_answers.py && git commit -m ""$(cat <<'EOF'
feat(pr-c-c1-answer-generator): 新增 Phase C.1 expected_answer 生成腳本

- Gemini Flash-Lite 生成 + 驗收（自動 score < 7 flag 待 Shiba 複核）
- 過濾系統訊息/工具名稱等雜訊 context
- 整批熔斷：except AIClientError 後停止剩餘 query 並印錯誤類別到 stderr
- 速率保護：生成 4s + 驗收 4s（Paid Tier 仍預留間隔）
- caller_module 串到 ai_api_call_logs（c1_generate_answers.generate / .score）

C.1 結果（n=28/31，3 筆無 uuid 不需生成）：4 flags 待複核 id=12/19/26/29

Co-Authored-By: Claude Opus 4.7 <<EMAIL>>
EOF
)""",vector,"你有閱讀過那四份論文嗎
指令：Write
---
你有閱讀過那四份論文嗎
指令：Write
---
你有閱讀過那四份論文嗎
指令：Write","{
  ""commands"": [
    ""git checkout -b pr-1"",
    ""git checkout -b pr-2"",
    ""git checkout -b pr-3"",
    ""git checkout -b pr-4""
  ]
}","git checkout -b pr-1
git checkout -b pr-2
git checkout -b pr-3
git checkout -b pr-4",1,1785
8,幫我做git stash,git stash,vector,"幫我做git stash pop
指令：git stash pop
---
替我跑一下 git stash pop
指令：git stash pop
---
請幫我執行 git stash pop
指令：git stash pop","{
  ""commands"": [
    ""git stash""
  ]
}",git stash,1,1129
9,讓我執行 git log --oneline -5,git log --oneline -5,vector,"幫我執行 git log –oneline -10
指令：Bash
---
請運行 git log --oneline -10 指令
指令：Bash
---
執行 git log 的 --oneline 參數並顯示最新 10 筆記錄
指令：Bash","{
  ""commands"": [
    ""git log --oneline -5""
  ]
}",git log --oneline -5,1,1195
10,<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>,"ls /Applications/ | grep -i stats
mdfind ""kMDItemCFBundleIdentifier == 'eu.exelban.Stats'"" 2>/dev/null | head -3",vector,"<local-command-caveat>注意事項：下列訊息係由使用者執行本地指令時自動生成。在未獲明確指示前，切莫回應或將其視為對話的一部分。</local-command-caveat>
指令：Bash
---
<local-command-caveat>備註：以下訊息為使用者執行本機指令時所產生。除非使用者明確要求處理，否則請勿回覆或將此類內容納入考量。</local-command-caveat>
指令：Bash
---
<local-command-caveat>警示：以下文字為使用者執行區域性指令時生成。除非獲得明確授權，否則一律不得回應或將此類訊息納入作答範圍。</local-command-caveat>
指令：Bash","{
  ""commands"": [
    ""git add data/2026-05-20_shiba-brain.db.bak"",
    ""git add data/2026-05-20_shiba-brain.db.bge-m3-backfill.bak"",
    ""git add docs/2026-05-09_shiba-fine-tuning-long-tern-plan.md"",
    ""git add docs/2026-05-09_shiba-learning-roadmap.md"",
    ""git add docs/architecture.txt"",
    ""git add docs/archive/plans/2026-05-23-local-qwen-capability-validation.md"",
    ""git add docs/archive/plans/2026-05-29-exchange-distillation-rag-restructure.md"",
    ""git add docs/note/"",
    ""git add experiments/""
  ]
}","git add data/2026-05-20_shiba-brain.db.bak
git add data/2026-05-20_shiba-brain.db.bge-m3-backfill.bak
git add docs/2026-05-09_shiba-fine-tuning-long-tern-plan.md
git add docs/2026-05-09_shiba-learning-roadmap.md
git add docs/architecture.txt
git add docs/archive/plans/2026-05-23-local-qwen-capability-validation.md
git add docs/archive/plans/2026-05-29-exchange-distillation-rag-restructure.md
git add docs/note/
git add experiments/",1,4523
