sample_id,session_id,exchange_id,instruction,gold_commands,distilled_intent,command_template
1,14,5737,升級,brew upgrade ollama,升級軟體套件,brew upgrade <package>
2,170,128216,都做吧,rm -f data/shiba-brain.db-shm data/shiba-brain.db-wal; ls -lh data/shiba-brain.db* 2>&1 | grep -v broken,清除資料庫的暫存檔案並檢查資料庫檔案狀態,rm -f data/shiba-brain.db-shm data/shiba-brain.db-wal; ls -lh data/shiba-brain.db* 2>&1 | grep -v broken
3,15,15378,你執行 另外docker容器 命名請參考 shiba-ollama-grafana,cd <HOME>/Developer/ollama-grafana && docker compose up -d 2>&1,啟動另一個 Docker 容器並命名為 shiba-ollama-grafana,cd <HOME>/Developer/ollama-grafana && docker compose up -d
4,282,354935,ABC,"grep -n ""evaluator_model\|gemini-2.5-flash-lite"" evaluation/c2_e2e_evaluation.py | head -10",查詢評估程式碼中特定關鍵字的行號,grep -n <keyword1>|<keyword2> <file> | head -10
5,370,383077,幫我使用tree列出核心功能的目錄與程式 在程式名稱右方用一句簡要的話標註這隻程式目的,"for f in modules/ragas/c1_generate_answers.py modules/ragas/c2_e2e_evaluation.py modules/ragas/c4_weekly_ci.py modules/ragas/golden_set_builder.py modules/ragas/layer2_eval.py modules/ragas/ragas_runner.py layer_2_chamber/backend/api/routes_dashboard.py layer_2_chamber/backend/api/routes_dataset.py layer_2_chamber/backend/api/routes_mcp.py layer_2_chamber/backend/api/routes_teachers.py; do echo ""=== $f ===""; sed -n '2,6p' ""$f"" 2>/dev/null; done",列出核心功能目錄並標註程式目的,tree <path> -L 2
6,14,13941,大概5分鐘1次,"# 用 powermetrics 非互動模式抓一次樣本（需 sudo）
sudo powermetrics -n 1 -i 1000 --samplers cpu_power,gpu_power,thermal 2>/dev/null | grep -E ""CPU die|GPU|ANE|temperature|active|freq"" | head -20",設定每5分鐘抓取一次系統效能樣本,"sudo powermetrics -n 1 -i 1000 --samplers cpu_power,gpu_power,thermal 2>/dev/null | grep -E ""CPU die|GPU|ANE|temperature|active|freq"" | head -20"
7,228,254923,照 4 個 PR 切,"git add evaluation/c1_generate_answers.py && git commit -m ""$(cat <<'EOF'
feat(pr-c-c1-answer-generator): 新增 Phase C.1 expected_answer 生成腳本

- Gemini Flash-Lite 生成 + 驗收（自動 score < 7 flag 待 Shiba 複核）
- 過濾系統訊息/工具名稱等雜訊 context
- 整批熔斷：except AIClientError 後停止剩餘 query 並印錯誤類別到 stderr
- 速率保護：生成 4s + 驗收 4s（Paid Tier 仍預留間隔）
- caller_module 串到 ai_api_call_logs（c1_generate_answers.generate / .score）

C.1 結果（n=28/31，3 筆無 uuid 不需生成）：4 flags 待複核 id=12/19/26/29

Co-Authored-By: Claude Opus 4.7 <<EMAIL>>
EOF
)""",要求執行 4 個 PR 切分支的指令,git add <files> && git commit -m <msg>
8,14,5681,幫我做git stash,git stash,儲存當前工作目錄的變更，以便暫時移除工作區的修改,git stash
9,14,6559,讓我執行 git log --oneline -5,git log --oneline -5,查看最近五次提交的簡短日誌,git log --oneline -5
10,14,14639,<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>,"ls /Applications/ | grep -i stats
mdfind ""kMDItemCFBundleIdentifier == 'eu.exelban.Stats'"" 2>/dev/null | head -3",列出應用程式目錄中與 Stats 相關的應用程式,"ls /Applications/ | grep -i <pattern> && mdfind ""kMDItemCFBundleIdentifier == '<bundle_id>'"" 2>/dev/null | head -3"
