msg_id	session_id	patterns	dup	snippet
687	4	一律/必須		expires_at 必須要記錄起始跟到期日期時間 也要記錄重置計算的時間從下一次的何時
922	8	不要		go 測試案例只要涵蓋到範圍就好不要過冗餘於測試 會感覺你在偷我token
1060	8	不需要/不必		將此次可改進的方式 避免不必要浪費token的處理 請對global claude.md做建議
1428	11	不需要/不必|改用/改成/改回		❯ 這四份有哪些值得參考的或引用在我們架構內的 ⏺ 根據已讀的四份內容，對照你們的四層架構： --- 已採用（架構中已有對應設計） ┌─────────┬─────────────────────────────────────────────────────────────┬───────────
1692	13	一律/必須		我傾向自薦一個本地模型 例如Qwen他必須具備一定水平的程式開發知識 他要幫我們卡控 1. 我的機敏隱私，本地端資訊不可留漏出去 例如我的專案路徑 我的本機名稱 密碼 2. 他必須有能力將這些問題抽離成有明確目的的問題與預期解答 但不可偏離本意 將我跟你對話的提問 轉換為有價值（好）的問題
1695	13	一律/必須		1.題目生成可以保留 但它必須被精粹成好的問題 這是一個生成後下一個流程做精粹的流程 2. 同Q1 3. 用意是？ Q4. 先暫列 Qwen 3.5-35b-a3b Q5. 我希望你參考現行網路上我們遇到的問題 實務上 大公司如何做 或AI公司如何做 我們能否仿照
1906	14	en-dont/never/always		# /loop — schedule a recurring or self-paced prompt Parse the input below into `[interval] <prompt…>` and schedule it. ## Parsing (in priority order) 
1938	14	en-dont/never/always	dup	# /loop — schedule a recurring or self-paced prompt Parse the input below into `[interval] <prompt…>` and schedule it. ## Parsing (in priority order) 
1979	14	en-dont/never/always	dup	# /loop — schedule a recurring or self-paced prompt Parse the input below into `[interval] <prompt…>` and schedule it. ## Parsing (in priority order) 
2042	14	不用		不用吧 你就定期3分鐘回覆我cpu使用量 gpu使用量 與RAM使用量就好了
2052	14	en-dont/never/always	dup	# /loop — schedule a recurring or self-paced prompt Parse the input below into `[interval] <prompt…>` and schedule it. ## Parsing (in priority order) 
2081	14	en-dont/never/always	dup	# /loop — schedule a recurring or self-paced prompt Parse the input below into `[interval] <prompt…>` and schedule it. ## Parsing (in priority order) 
2101	14	en-dont/never/always	dup	# /loop — schedule a recurring or self-paced prompt Parse the input below into `[interval] <prompt…>` and schedule it. ## Parsing (in priority order) 
2115	14	en-dont/never/always	dup	# /loop — schedule a recurring or self-paced prompt Parse the input below into `[interval] <prompt…>` and schedule it. ## Parsing (in priority order) 
2139	14	en-dont/never/always	dup	# /loop — schedule a recurring or self-paced prompt Parse the input below into `[interval] <prompt…>` and schedule it. ## Parsing (in priority order) 
2215	14	en-dont/never/always	dup	# /loop — schedule a recurring or self-paced prompt Parse the input below into `[interval] <prompt…>` and schedule it. ## Parsing (in priority order) 
2254	14	en-dont/never/always	dup	# /loop — schedule a recurring or self-paced prompt Parse the input below into `[interval] <prompt…>` and schedule it. ## Parsing (in priority order) 
